timestamp,cpu_usage,tcp_connections,udp_connections,packet_rate
2024-06-19 18:34:30,10,1408,231,204
2024-06-19 18:35:00,9,1388,120,317
2024-06-19 18:35:30,8,1343,110,308
2024-06-19 18:36:00,9,1337,105,203
2024-06-19 18:36:30,8,1331,99,203
2024-06-19 18:37:00,8,1251,72,181
2024-06-19 18:37:30,6,1025,51,137
2024-06-19 18:38:00,5,725,43,115
2024-06-19 18:38:30,4,443,61,123
2024-06-19 18:39:00,6,212,103,181
2024-06-19 18:39:30,3,253,167,127
2024-06-19 18:40:00,5,408,185,246
2024-06-19 18:40:30,6,587,288,353
2024-06-19 18:41:00,7,702,305,413
2024-06-19 18:41:30,5,695,132,112
2024-06-19 18:42:00,5,638,92,180
2024-06-19 18:42:30,4,566,109,203
2024-06-19 18:43:00,4,492,105,143
2024-06-19 18:43:30,4,461,94,163
2024-06-19 18:44:00,4,419,113,66
