2024-08-22 17:13:29, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 38564 KB, FREE MEM: 186064 KB
2024-08-22 17:13:30, CPU USAGE: 38%, TOTAL MEM: 251776 KB, USED MEM: 35480 KB, FREE MEM: 188852 KB
2024-08-22 17:13:32, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35340 KB, FREE MEM: 189024 KB
2024-08-22 17:13:33, CPU USAGE: 6%, TOTAL MEM: 251776 KB, USED MEM: 35356 KB, FREE MEM: 189044 KB
2024-08-22 17:13:34, CPU USAGE: 12%, TOTAL MEM: 251776 KB, USED MEM: 35456 KB, FREE MEM: 188920 KB
2024-08-22 17:13:35, CPU USAGE: 27%, TOTAL MEM: 251776 KB, USED MEM: 35252 KB, FREE MEM: 189064 KB
2024-08-22 17:13:36, CPU USAGE: 7%, TOTAL MEM: 251776 KB, USED MEM: 35252 KB, FREE MEM: 189040 KB
2024-08-22 17:13:37, CPU USAGE: 25%, TOTAL MEM: 251776 KB, USED MEM: 35468 KB, FREE MEM: 188896 KB
2024-08-22 17:13:38, CPU USAGE: 5%, TOTAL MEM: 251776 KB, USED MEM: 35396 KB, FREE MEM: 189004 KB
2024-08-22 17:13:39, CPU USAGE: 9%, TOTAL MEM: 251776 KB, USED MEM: 35340 KB, FREE MEM: 188980 KB
2024-08-22 17:13:40, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35284 KB, FREE MEM: 189112 KB
2024-08-22 17:13:41, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35812 KB, FREE MEM: 188796 KB
2024-08-22 17:13:42, CPU USAGE: 12%, TOTAL MEM: 251776 KB, USED MEM: 35544 KB, FREE MEM: 188756 KB
2024-08-22 17:13:44, CPU USAGE: 17%, TOTAL MEM: 251776 KB, USED MEM: 35368 KB, FREE MEM: 188876 KB
2024-08-22 17:13:45, CPU USAGE: 24%, TOTAL MEM: 251776 KB, USED MEM: 35444 KB, FREE MEM: 188888 KB
2024-08-22 17:13:46, CPU USAGE: 25%, TOTAL MEM: 251776 KB, USED MEM: 35516 KB, FREE MEM: 188816 KB
2024-08-22 17:13:47, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35452 KB, FREE MEM: 188992 KB
2024-08-22 17:13:48, CPU USAGE: 3%, TOTAL MEM: 251776 KB, USED MEM: 35264 KB, FREE MEM: 189012 KB
2024-08-22 17:13:49, CPU USAGE: 6%, TOTAL MEM: 251776 KB, USED MEM: 35216 KB, FREE MEM: 189100 KB
2024-08-22 17:13:50, CPU USAGE: 3%, TOTAL MEM: 251776 KB, USED MEM: 35312 KB, FREE MEM: 189124 KB
2024-08-22 17:13:51, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35200 KB, FREE MEM: 189132 KB
2024-08-22 17:13:52, CPU USAGE: 24%, TOTAL MEM: 251776 KB, USED MEM: 35412 KB, FREE MEM: 188912 KB
2024-08-22 17:13:53, CPU USAGE: 25%, TOTAL MEM: 251776 KB, USED MEM: 35444 KB, FREE MEM: 188892 KB
2024-08-22 17:13:54, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35392 KB, FREE MEM: 188988 KB
2024-08-22 17:13:55, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 36124 KB, FREE MEM: 187552 KB
